Currency,TxFee,BaseAddress,IsActive,CurrencyLong,MinConfirmation,Notice,CoinType
BTC,0.001,1N52wHoVR79PMDishab2XmRHsbekCdGquK,True,Bitcoin,2,,BITCOIN
LTC,0.01,LhyLNfBkoKshT7R8Pce6vkB9T2cP2o84hx,True,Litecoin,6,,BITCOIN
DOGE,2.0,D9GqmkGCpgtnXP7xMD78v9xfqeDkqBZBMT,True,Dogecoin,6,,BITCOIN
VTC,0.02,VfukW89WKT9h3YjHZdSAAuGNVGELY31wyj,True,Vertcoin,6,,BITCOIN
PPC,0.02,,True,Peercoin,6,,BITCOIN
FTC,0.2,,True,Feathercoin,20,,BITCOIN
RDD,2.0,,True,ReddCoin,20,,BITCOIN
NXT,2.0,NXT-97H4-KRWL-A53G-7GVRG,True,NXT,8,,NXT
DASH,0.002,,True,Dash,6,,BITCOIN
POT,0.002,,True,PotCoin,20,,BITCOIN
BLK,0.02,,True,BlackCoin,6,,BITCOIN
EMC2,0.2,,True,Einsteinium,999,,BITCOIN
XMY,0.2,,True,Myriad,20,,BITCOIN
AUR,0.002,,True,AuroraCoin,5,,BITCOIN
UTC,0.02,,True,UltraCoin,5,,BITCOIN
MZC,0.2,,True,MazaCoin,6,,BITCOIN
EFL,0.2,,True,ElectronicGulden,256,,BITCOIN
GLD,0.0002,,True,GoldCoin,20,,BITCOIN
FAIR,0.02,,True,FairCoin,10,,BITCOIN
SLR,0.2,,True,SolarCoin,20,,BITCOIN
PTC,0.002,,True,PesetaCoin ,40,,BITCOIN
GRS,0.2,,True,Groestlcoin,20,,BITCOIN
NLG,0.2,,True,Gulden,10,,BITCOINEX
RBY,0.02,,True,RubyCoin,10,,BITCOIN
XWC,0.2,,True,WhiteCoin,20,,BITCOIN
MONA,0.2,MVPVmbbm7g3f9PF2xRV6RSoSnw8xfr8kNj,True,MonaCoin,5,,BITCOIN
BITS,0.002,,True,BitStarCoin,20,,BITCOIN
OC,0.2,,False,OrangeCoin,20,Wallet Offline - Wallet no longer operational - withdrawals/deposits cannot be processed,BITCOIN
THC,0.2,HCt5LgCkUX39ekrQdEHaN8Rp5AHZP3MKTj,True,HempCoin,14,,BITCOIN
ENRG,0.2,,True,EnergyCoin,20,,BITCOIN
SFR,0.2,,True,SaffronCoin,20,,BITCOIN
ERC,0.2,,True,EuropeCoin,20,,BITCOIN
NAUT,2.0,NXT-5BDK-RF4B-TAXN-92836,True,NautilusCoin,10,,NXT_MS
VRC,0.0002,,True,VeriCoin,5,,BITCOIN
CURE,0.0002,,True,CureCoin,6,,BITCOIN
BLC,0.2,,True,BlakeCoin,20,,BITCOIN
XC,2e-05,,True,XCurrency,20,,BITCOIN
XDQ,0.02,,True,Dirac,6,,BITCOIN
XBB,0.0002,1AxQp4KrZbETL4HHgh5PksNsdcUregZoSEsWvYWgUaMAMayq1ddWdFrQEg5DfUod4Ud6Sz2z6vQMAcMWRdLDTSmy2Conhvk,True,Boolberry,15,,CRYPTO_NOTE_PAYMENTID
HYPER,0.02,,True,Hyper,20,,BITCOIN
CCN,0.02,,True,CannaCoin,10,,BITCOIN
XMR,0.04,463tWEBn5XZJSxLU6uLQnQ2iY9xuNcDbjLSjkn3XAXHCbLrTTErJrBWYgHJQyrCwkNgYvyV3z8zctJLPCZy24jvb3NiTcTJ,True,Monero,8,,CRYPTO_NOTE_PAYMENTID
CLOAK,0.02,,True,CloakCoin,5,,BITCOIN
